Data_ID	Sequence_Name	RNA_Size	ORF_Size	Ficket_Score	Hexamer_Score	Coding_Probability	Coding_Label
162	TCONS_00029789 	1494	207	0.5303	-0.228571916189	0.003040928069283	no
163	TCONS_00029790 	252	75	0.8128	-0.257560283488	0.0015810715419	no
164	TCONS_00029791 	289	102	0.6504	-0.427243125412	0.000414105175462	no
165	TCONS_00029792 	2464	186	0.3762	-0.239395636475	0.001312999428326	no
166	TCONS_00029793 	2977	189	0.9368	-0.29550453407	0.005262259573899	no
167	TCONS_00029794 	1846	186	1.0033	-0.276375423096	0.007611591908498	no
168	TCONS_00029795 	1524	165	0.6811	-0.081910743769	0.008111481217861	no
169	TCONS_00029796 	4202	234	0.5543	-0.360660032511	0.001559615212128	no
170	TCONS_00029798 	1392	174	0.6823	-0.408157846381	0.001056993117575	no
171	TCONS_00006552 	2120	174	0.6814	-0.315092707276	0.00186273941017	no
172	TCONS_00029799 	973	93	0.3802	-0.441748023931	0.000140166927585	no
173	TCONS_00029800 	876	267	0.6825	-0.259334781658	0.007913605104609	no
174	TCONS_00029801 	1975	288	0.5769	-0.229231728959	0.008130676414948	no
175	TCONS_00029802 	1586	186	0.8108	-0.229112422316	0.005780719398426	no
176	TCONS_00029804 	992	186	0.8784	-0.358374892442	0.003165052131394	no
177	TCONS_00029805 	3753	240	0.6288	-0.0119467200369	0.021182176215957	no
178	TCONS_00029806 	1249	210	0.7814	0.0264003037432	0.036514402680923	no
179	TCONS_00029807 	688	156	0.5599	0.165762212874	0.02663763488095	no
180	TCONS_00029808 	2580	153	0.7421	-0.20729998985	0.003552990821753	no
181	TCONS_00029809 	507	117	0.8336	-0.517320772324	0.000471478667211	no
182	TCONS_00029810 	1815	192	0.4209	-0.17069966118	0.00263602439113	no
183	TCONS_00029811 	309	99	0.7958	-0.0435215533598	0.007905308338138	no
184	TCONS_00029812 	3797	198	0.7133	0.147060014879	0.048585751097662	no
185	TCONS_00029813 	1732	150	1.0429	-0.185109233618	0.010710743230652	no
186	TCONS_00029814 	871	141	0.6218	-0.340051585749	0.000989974503213	no
187	TCONS_00029815 	1837	105	0.6545	-0.190152371945	0.001884376511565	no
188	TCONS_00029816 	1471	168	0.9767	0.131830182899	0.080861231789985	no
189	TCONS_00029817 	866	177	0.9298	-0.110331979127	0.017244223057173	no
190	TCONS_00029818 	911	162	0.3742	-0.212875361862	0.001317768266167	no
191	TCONS_00029819 	519	72	0.7751	-0.232529298417	0.00157818111014	no
192	TCONS_00029820 	990	87	0.8309	-0.176712311573	0.00310238695439	no
193	TCONS_00029827 	978	234	0.6244	-0.119507289429	0.011503322752052	no
194	TCONS_00029828 	428	114	0.75	-0.0787122246917	0.006345899759609	no
195	TCONS_00029829 	906	204	0.6031	-0.427810584043	0.001031191669106	no
196	TCONS_00029830 	568	114	0.9357	-0.331809808757	0.002129610861946	no
197	TCONS_00029831 	2860	159	0.5995	-0.359307005615	0.000875186366524	no
198	TCONS_00029832 	1050	270	0.8129	-0.402872867535	0.004738197705676	no
199	TCONS_00029833 	944	408	0.6621	-0.196811079353	0.049163349354494	no
200	TCONS_00029834 	937	219	0.5634	-0.220390899098	0.004189510261604	no
201	TCONS_00029835 	2830	138	0.9346	0.126457737754	0.047186236013071	no
202	TCONS_00029836 	761	114	0.6708	-0.316707578122	0.001012829343038	no
203	TCONS_00029837 	807	258	0.6549	0.0193566597035	0.040271192744091	no
204	TCONS_00029838 	3223	117	0.9548	-0.0638303721575	0.011553740098361	no
205	TCONS_00029839 	2193	354	0.6178	-0.160065155044	0.028792145377862	no
206	TCONS_00029840 	921	192	1.0139	0.0575619942568	0.075069921802015	no
207	TCONS_00029841 	1845	207	0.7957	0.00184232549388	0.030510849321474	no
208	TCONS_00029842 	3164	240	0.4135	-0.30816533555	0.00161041339677	no
209	TCONS_00029843 	1172	171	0.9478	-0.122750978934	0.015492673232663	no
210	TCONS_00029844 	985	87	1.0162	-0.132939708341	0.007384482095194	no
211	TCONS_00029845 	1170	147	0.8839	0.0583597151622	0.031795150450704	no
212	TCONS_00029846 	2134	126	0.5605	-0.470865021846	0.000271305324347	no
213	TCONS_00029847 	1546	252	0.5978	-0.388932046023	0.00211651407427	no
214	TCONS_00029848 	817	378	0.7361	0.0316941345589	0.17687935226448	no
215	TCONS_00029849 	3450	249	0.6553	-0.202167409486	0.007464212621372	no
216	TCONS_00029850 	1115	81	0.7154	-0.331643563462	0.000723448648317	no
217	TCONS_00029851 	1077	276	0.4418	-0.220348051779	0.005246227704381	no
218	TCONS_00029852 	5109	222	0.8576	0.00949589552948	0.037338466889215	no
219	TCONS_00007666 	851	135	0.4677	-0.27706554418	0.000867688795302	no
220	TCONS_00029853 	1808	246	0.5536	-0.0648481832118	0.014262283883651	no
221	TCONS_00029854 	593	105	0.5299	-0.3674609774	0.000426745282949	no
222	TCONS_00022207 	2207	282	0.8838	0.0540396945285	0.11421880316084	no
223	TCONS_00029855 	1139	195	0.7549	0.0300760820705	0.029674610936043	no
224	TCONS_00029856 	2192	237	0.7025	0.0236428986921	0.035424022933879	no
225	TCONS_00029857 	964	165	0.4417	-0.253722698062	0.001280925417156	no
226	TCONS_00029858 	721	129	1.0243	-0.101134461652	0.014841142261415	no
227	TCONS_00029859 	4197	219	0.5907	-0.267780964537	0.00274279639745	no
228	TCONS_00029860 	690	138	0.6549	-0.422476098011	0.000624152863455	no
229	TCONS_00029861 	1623	150	0.3563	-0.249254273323	0.000824507287081	no
230	TCONS_00029862 	2805	177	0.599	-0.207941127491	0.002887611528151	no
231	TCONS_00029863 	865	186	0.483	-0.213822023166	0.002393435060348	no
232	TCONS_00029864 	2716	300	0.7246	-0.0537769183814	0.043243509007441	no
233	TCONS_00029865 	987	258	0.6142	0.0679520368076	0.047926544793506	no
234	TCONS_00029866 	896	198	0.6757	-0.226722554787	0.004566222434833	no
235	TCONS_00029867 	1052	117	1.0225	-0.12909307363	0.010607932594175	no
236	TCONS_00029868 	3062	261	0.7326	-0.0466354966949	0.030263566949982	no
237	TCONS_00029869 	1730	261	0.6842	-1.07E-05	0.038036313120857	no
238	TCONS_00029870 	649	117	1.0862	0.108036049176	0.060355821066645	no
239	TCONS_00022727 	1195	204	0.4585	-0.470200244279	0.000486514156087	no
240	TCONS_00029871 	1323	198	0.5113	-0.311883648083	0.001517416044379	no
241	TCONS_00029872 	2117	228	0.445	-0.0764402594021	0.007638423960631	no
242	TCONS_00029873 	3728	324	0.4935	-0.0318510292033	0.029886419909196	no
243	TCONS_00029874 	266	84	0.5816	-0.53836665055	0.000132070330961	no
244	TCONS_00029875 	534	144	0.4384	-0.0655504629219	0.003583597112028	no
245	TCONS_00022829 	2178	153	0.6344	-0.188201998334	0.00294618949738	no
246	TCONS_00029876 	2248	165	1.0655	-0.0737190363999	0.026897952879071	no
247	TCONS_00029877 	7847	441	0.5274	-0.231037046347	0.02475299373506	no
248	TCONS_00022833 	2403	246	0.8158	-0.129924288839	0.020277825287122	no
249	TCONS_00022834 	2403	246	0.8158	-0.129924288839	0.020277825287122	no
250	TCONS_00029878 	1157	207	0.8174	-0.21848529086	0.00813481681709	no
251	TCONS_00022835 	3400	375	0.6926	-0.15062786353	0.044474202157018	no
252	TCONS_00029879 	4060	222	0.7497	0.0170422105183	0.030026846798528	no
253	TCONS_00029880 	2877	168	0.8884	-0.322349324003	0.003041967902684	no
254	TCONS_00029881 	6866	207	0.6126	-0.249747505181	0.002472734075126	no
255	TCONS_00029882 	11249	438	0.7235	-0.204200870686	0.042313163033695	no
256	TCONS_00029883 	3586	339	0.614	-0.338087419731	0.007016034232935	no
257	TCONS_00029884 	1170	108	0.6932	-0.476591856124	0.00034592375438	no
258	TCONS_00029885 	4939	234	0.8911	-0.115926210077	0.021197368207395	no
259	TCONS_00029886 	1120	162	0.6106	-0.127765667291	0.004780123123239	no
260	TCONS_00029887 	1246	132	0.5397	-0.664447249029	7.97E-05	no
261	TCONS_00029888 	1392	213	0.8701	-0.113353827312	0.0199744094761	no
262	TCONS_00029889 	891	147	0.756	0.0385752837048	0.019233689955692	no
263	TCONS_00029890 	873	147	0.6728	-0.231477937446	0.002535057354916	no
264	TCONS_00029891 	1591	99	0.7862	-0.0478388636168	0.006903544596398	no
265	TCONS_00029892 	2319	258	0.6302	-0.0688630246396	0.019399974135827	no
266	TCONS_00029893 	7894	267	0.4872	-0.300371779552	0.002146179865532	no
267	TCONS_00029894 	1210	147	0.8448	-0.329821008898	0.002228151761738	no
268	TCONS_00029895 	2069	165	0.9225	-0.153365109043	0.010428512340024	no
269	TCONS_00008409 	5946	237	0.9996	-0.350689856757	0.006241494429288	no
270	TCONS_00029897 	740	129	0.4834	-0.386317423212	0.000418280052242	no
271	TCONS_00029898 	2015	195	1.0432	0.236981786632	0.21949356661909	no
272	TCONS_00029900 	787	201	1.028	-0.0676338117558	0.039613949198901	no
273	TCONS_00029901 	442	141	0.75	0.299040765726	0.093772386219375	no
274	TCONS_00029902 	1372	186	0.7286	-0.143740906899	0.007930765741315	no
275	TCONS_00023383 	2479	402	1.0025	-0.0940523304792	0.20225057513974	no
276	TCONS_00029903 	740	93	0.7184	-0.322155290393	0.000905447068939	no
277	TCONS_00029904 	1251	210	0.5514	0.0271007429986	0.018145927373129	no
278	TCONS_00029905 	1586	159	1.0304	-0.301109493459	0.005353006525034	no
279	TCONS_00029906 	1233	267	0.6873	-0.393103410196	0.003265660035273	no
280	TCONS_00029907 	1048	252	0.8322	-0.292512679253	0.008555820733595	no
281	TCONS_00029908 	1797	255	0.7779	-0.0278724345303	0.039584501341009	no
282	TCONS_00029909 	377	162	0.6575	-0.0942705628204	0.007211245197088	no
283	TCONS_00008767 	535	168	1.1793	0.280439066536	0.31948748995598	no
284	TCONS_00008768 	454	168	1.1793	0.280439066536	0.32055772988866	no
285	TCONS_00008769 	1503	189	0.7301	-0.338962838023	0.002263013922361	no
286	TCONS_00029910 	595	93	0.6903	-0.135935026833	0.002854070668648	no
287	TCONS_00029911 	1140	201	0.8614	-0.526126870524	0.001157639816243	no
288	TCONS_00029912 	10220	408	1.0159	-0.0813486202758	0.16091152637775	no
289	TCONS_00029913 	610	153	0.6585	-0.092131604215	0.00656729325631	no
290	TCONS_00029914 	1142	120	0.8125	-0.143356596968	0.005155602748673	no
291	TCONS_00029915 	1995	141	0.8251	0.0924080433041	0.029568325954349	no
292	TCONS_00029916 	1130	174	0.6032	0.00634606608485	0.012778265471579	no
293	TCONS_00029917 	853	69	0.8172	-0.145483695231	0.003031602755015	no
294	TCONS_00023964 	2297	150	0.8569	-0.291736295498	0.002876075943194	no
295	TCONS_00029918 	782	186	0.6896	-0.298316643659	0.002634736645517	no
296	TCONS_00029919 	451	135	0.5594	-0.233784100739	0.001577017740951	no
297	TCONS_00029920 	2814	333	0.728	-0.153346936565	0.032527857652954	no
298	TCONS_00029921 	491	93	1.2096	0.135459720423	0.081185275081902	no
299	TCONS_00029922 	1202	144	0.7579	-0.18005371372	0.004405412212005	no
300	TCONS_00029923 	1015	246	0.7669	-0.0706713968719	0.027763117377193	no
301	TCONS_00029924 	1040	225	0.9332	-0.0353807666029	0.046135307455769	no
302	TCONS_00009549 	3583	336	0.6771	0.0020016346137	0.073027239827315	no
303	TCONS_00009550 	805	210	0.5608	-0.085104507705	0.009237430858841	no
304	TCONS_00029925 	360	99	0.8415	-0.111915967711	0.005804132238687	no
305	TCONS_00029926 	1318	186	0.3901	-0.15122331246	0.002628480399782	no
306	TCONS_00009971 	7334	570	0.7747	0.106723274584	0.68117174618371	yes
307	TCONS_00029927 	771	387	0.559	-0.0342920489049	0.080939741790838	no
308	TCONS_00029928 	1239	210	0.8081	-0.0637260063535	0.022239217047966	no
309	TCONS_00029929 	2923	285	0.7836	0.00926838215264	0.064778035343944	no
310	TCONS_00029930 	979	243	0.8696	-0.126008471062	0.025860899215038	no
311	TCONS_00029931 	7203	387	0.619	0.0449427725694	0.10827075916945	no
312	TCONS_00029932 	610	243	0.5961	-0.0469917249877	0.019001803969253	no
313	TCONS_00025224 	3808	210	0.6861	-0.244327053596	0.00400930121057	no
314	TCONS_00025259 	2189	258	1.0229	0.0195655712534	0.10935857803891	no
315	TCONS_00029933 	661	201	0.8619	-0.00363562185962	0.036269414420588	no
316	TCONS_00029934 	1011	198	0.8326	-0.0756731386526	0.019816852806491	no
317	TCONS_00029935 	1221	186	0.7883	-0.0365785630199	0.019364365598889	no
318	TCONS_00029936 	1239	201	0.8298	-0.271499726184	0.00557236431605	no
319	TCONS_00029937 	1062	123	0.6128	-0.0707728497387	0.004616794685642	no
320	TCONS_00029938 	852	135	0.8424	-0.286860664493	0.002634950505564	no
321	TCONS_00029939 	947	309	0.5373	-0.275849927986	0.007056681411071	no
322	TCONS_00029940 	1008	234	1.0453	0.0535285283379	0.12020786273802	no
323	TCONS_00029941 	713	123	0.8879	0.14056221009	0.043415337921664	no
324	TCONS_00029942 	3145	300	0.6961	-0.123524874563	0.024775729538109	no
325	TCONS_00029943 	2668	270	0.7123	-0.113429912294	0.020823296147853	no
326	TCONS_00029944 	1599	153	0.8387	-0.244421447847	0.003996143762332	no
327	TCONS_00029945 	2227	138	1.099	-0.204483489068	0.009591982197072	no
328	TCONS_00029946 	510	258	0.8948	0.0384584624049	0.093374768965645	no
329	TCONS_00029947 	1156	126	0.9303	-0.0684669750114	0.012946414935917	no
330	TCONS_00029948 	1018	261	0.9305	0.0627517758861	0.11931269298451	no
331	TCONS_00025658 	2149	198	0.8023	0.0859065179302	0.047485352264622	no
332	TCONS_00029949 	677	105	0.7065	-0.264664673142	0.001456268300977	no
333	TCONS_00029950 	3498	210	0.6625	-0.147792729401	0.007152711324632	no
334	TCONS_00029951 	944	159	0.9526	-0.282740792906	0.004922942836457	no
335	TCONS_00029952 	566	126	0.622	-0.303312540803	0.001093474426162	no
336	TCONS_00029953 	1706	219	0.7833	-0.0994306101272	0.017496271162645	no
337	TCONS_00029954 	1450	264	0.9028	-0.22394102371	0.018475584834734	no
338	TCONS_00029955 	962	297	1.0167	-0.0377924554314	0.11927268229381	no
339	TCONS_00029956 	826	198	0.7211	-0.0818782149022	0.013636564559458	no
340	TCONS_00029957 	759	138	0.4309	-0.00025506178964	0.004972809518473	no
341	TCONS_00029958 	806	114	0.8708	-0.25080656768	0.002920056168339	no
342	TCONS_00029959 	3624	285	0.8081	-0.103489476105	0.032930180043736	no
343	TCONS_00029960 	385	84	0.7885	0.0480990070765	0.011925369209466	no
344	TCONS_00029961 	1972	216	0.5355	-0.249991192027	0.002873500283758	no
345	TCONS_00029962 	765	123	1.0358	-0.388541813445	0.002184020930377	no
346	TCONS_00029963 	802	132	0.4319	-0.0304676552228	0.00382409790014	no
347	TCONS_00029964 	1425	123	0.4885	-0.097339217329	0.002569642212759	no
348	TCONS_00029965 	1661	231	0.5347	-0.127159452457	0.007692316234266	no
349	TCONS_00029966 	972	96	1.0522	-0.266473108329	0.003790705584224	no
