ID	C/NC	CODING_POTENTIAL_SCORE	EVIDENCE	UTR-DB_HITs	RNA-DB_HITs
TCONS_00304702 	noncoding 	-1.37786 	detail 	search 	search
TCONS_00039950 	noncoding 	-1.37594 	detail 	search 	search
TCONS_00266147 	noncoding 	-1.37526 	detail 	search 	search
TCONS_00237421 	noncoding 	-1.37455 	detail 	search 	search
TCONS_00028365 	noncoding 	-1.37425 	detail 	search 	search
TCONS_00187075 	noncoding 	-1.37422 	detail 	search 	search
TCONS_00304822 	noncoding 	-1.37364 	detail 	search 	search
TCONS_00194537 	noncoding 	-1.37361 	detail 	search 	search
TCONS_00138743 	noncoding 	-1.37186 	detail 	search 	search
TCONS_00187430 	noncoding 	-1.37161 	detail 	search 	search
TCONS_00093860 	noncoding 	-1.37147 	detail 	search 	search
TCONS_00187537 	noncoding 	-1.37145 	detail 	search 	search
TCONS_00028537 	noncoding 	-1.37124 	detail 	search 	search
TCONS_00224695 	noncoding 	-1.37121 	detail 	search 	search
TCONS_00105312 	noncoding 	-1.37103 	detail 	search 	search
TCONS_00076756 	noncoding 	-1.37101 	detail 	search 	search
TCONS_00028437 	noncoding 	-1.37098 	detail 	search 	search
TCONS_00028367 	noncoding 	-1.37057 	detail 	search 	search
TCONS_00082210 	noncoding 	-1.37052 	detail 	search 	search
TCONS_00144605 	noncoding 	-1.36979 	detail 	search 	search
TCONS_00187410 	noncoding 	-1.36917 	detail 	search 	search
TCONS_00028444 	noncoding 	-1.36904 	detail 	search 	search
TCONS_00281465 	noncoding 	-1.36848 	detail 	search 	search
TCONS_00314652 	noncoding 	-1.36776 	detail 	search 	search
TCONS_00076696 	noncoding 	-1.36756 	detail 	search 	search
TCONS_00224744 	noncoding 	-1.36713 	detail 	search 	search
TCONS_00028461 	noncoding 	-1.36712 	detail 	search 	search
TCONS_00266425 	noncoding 	-1.36704 	detail 	search 	search
TCONS_00076692 	noncoding 	-1.36679 	detail 	search 	search
TCONS_00205552 	noncoding 	-1.36558 	detail 	search 	search
TCONS_00266383 	noncoding 	-1.36534 	detail 	search 	search
TCONS_00237544 	noncoding 	-1.36511 	detail 	search 	search
TCONS_00187497 	noncoding 	-1.36481 	detail 	search 	search
TCONS_00237406 	noncoding 	-1.36464 	detail 	search 	search
TCONS_00198316 	noncoding 	-1.36455 	detail 	search 	search
TCONS_00187110 	noncoding 	-1.36438 	detail 	search 	search
TCONS_00186952 	noncoding 	-1.36431 	detail 	search 	search
TCONS_00076642 	noncoding 	-1.36398 	detail 	search 	search
TCONS_00266203 	noncoding 	-1.36389 	detail 	search 	search
TCONS_00265758 	noncoding 	-1.36361 	detail 	search 	search
TCONS_00198333 	noncoding 	-1.36359 	detail 	search 	search
TCONS_00039938 	noncoding 	-1.36356 	detail 	search 	search
TCONS_00144505 	noncoding 	-1.36348 	detail 	search 	search
TCONS_00251825 	noncoding 	-1.36342 	detail 	search 	search
TCONS_00274746 	noncoding 	-1.36342 	detail 	search 	search
TCONS_00293616 	noncoding 	-1.36338 	detail 	search 	search
TCONS_00266290 	noncoding 	-1.36333 	detail 	search 	search
TCONS_00028468 	noncoding 	-1.36321 	detail 	search 	search
TCONS_00251913 	noncoding 	-1.36296 	detail 	search 	search
TCONS_00187292 	noncoding 	-1.36252 	detail 	search 	search
TCONS_00251876 	noncoding 	-1.36188 	detail 	search 	search
TCONS_00237377 	noncoding 	-1.36149 	detail 	search 	search
TCONS_00304774 	noncoding 	-1.36119 	detail 	search 	search
TCONS_00281758 	noncoding 	-1.36108 	detail 	search 	search
TCONS_00237409 	noncoding 	-1.361 	detail 	search 	search
TCONS_00163946 	noncoding 	-1.36096 	detail 	search 	search
TCONS_00224408 	noncoding 	-1.36054 	detail 	search 	search
TCONS_00224507 	noncoding 	-1.35942 	detail 	search 	search
TCONS_00224671 	noncoding 	-1.35926 	detail 	search 	search
TCONS_00187525 	noncoding 	-1.35882 	detail 	search 	search
TCONS_00076873 	noncoding 	-1.35874 	detail 	search 	search
TCONS_00028699 	noncoding 	-1.35872 	detail 	search 	search
TCONS_00237410 	noncoding 	-1.35851 	detail 	search 	search
TCONS_00187115 	noncoding 	-1.35819 	detail 	search 	search
TCONS_00237348 	noncoding 	-1.35814 	detail 	search 	search
TCONS_00293606 	noncoding 	-1.35802 	detail 	search 	search
TCONS_00187391 	noncoding 	-1.35801 	detail 	search 	search
TCONS_00293743 	noncoding 	-1.35801 	detail 	search 	search
TCONS_00058560 	noncoding 	-1.35793 	detail 	search 	search
TCONS_00265734 	noncoding 	-1.35707 	detail 	search 	search
TCONS_00251935 	noncoding 	-1.35694 	detail 	search 	search
TCONS_00105343 	noncoding 	-1.3557 	detail 	search 	search
TCONS_00028581 	noncoding 	-1.35501 	detail 	search 	search
TCONS_00028376 	noncoding 	-1.3548 	detail 	search 	search
TCONS_00293528 	noncoding 	-1.35459 	detail 	search 	search
TCONS_00076685 	noncoding 	-1.35414 	detail 	search 	search
TCONS_00028680 	noncoding 	-1.35402 	detail 	search 	search
TCONS_00281500 	noncoding 	-1.35396 	detail 	search 	search
TCONS_00314627 	noncoding 	-1.35395 	detail 	search 	search
TCONS_00281703 	noncoding 	-1.3538 	detail 	search 	search
TCONS_00314678 	noncoding 	-1.35374 	detail 	search 	search
TCONS_00039890 	noncoding 	-1.35361 	detail 	search 	search
TCONS_00265724 	noncoding 	-1.35271 	detail 	search 	search
TCONS_00076771 	noncoding 	-1.3517 	detail 	search 	search
TCONS_00251903 	noncoding 	-1.35164 	detail 	search 	search
TCONS_00237362 	noncoding 	-1.35076 	detail 	search 	search
TCONS_00144587 	noncoding 	-1.3503 	detail 	search 	search
TCONS_00256489 	noncoding 	-1.3503 	detail 	search 	search
TCONS_00187378 	noncoding 	-1.3502 	detail 	search 	search
TCONS_00040026 	noncoding 	-1.35006 	detail 	search 	search
TCONS_00266079 	noncoding 	-1.34998 	detail 	search 	search
TCONS_00314549 	noncoding 	-1.34979 	detail 	search 	search
TCONS_00281672 	noncoding 	-1.34962 	detail 	search 	search
TCONS_00076566 	noncoding 	-1.3492 	detail 	search 	search
TCONS_00293506 	noncoding 	-1.34902 	detail 	search 	search
TCONS_00028684 	noncoding 	-1.34894 	detail 	search 	search
TCONS_00304799 	noncoding 	-1.34869 	detail 	search 	search
TCONS_00304726 	noncoding 	-1.3486 	detail 	search 	search
TCONS_00281744 	noncoding 	-1.34824 	detail 	search 	search
TCONS_00076647 	noncoding 	-1.34807 	detail 	search 	search
TCONS_00266076 	noncoding 	-1.34801 	detail 	search 	search
TCONS_00252094 	noncoding 	-1.34768 	detail 	search 	search
TCONS_00224672 	noncoding 	-1.34741 	detail 	search 	search
TCONS_00224669 	noncoding 	-1.34714 	detail 	search 	search
TCONS_00186994 	noncoding 	-1.34671 	detail 	search 	search
TCONS_00314715 	noncoding 	-1.34651 	detail 	search 	search
TCONS_00187607 	noncoding 	-1.34635 	detail 	search 	search
TCONS_00187355 	noncoding 	-1.34617 	detail 	search 	search
TCONS_00304781 	noncoding 	-1.34588 	detail 	search 	search
TCONS_00281477 	noncoding 	-1.34585 	detail 	search 	search
TCONS_00093836 	noncoding 	-1.34583 	detail 	search 	search
TCONS_00237486 	noncoding 	-1.34512 	detail 	search 	search
TCONS_00281609 	noncoding 	-1.34453 	detail 	search 	search
TCONS_00138800 	noncoding 	-1.34448 	detail 	search 	search
TCONS_00093819 	noncoding 	-1.34428 	detail 	search 	search
TCONS_00237349 	noncoding 	-1.34416 	detail 	search 	search
TCONS_00187198 	noncoding 	-1.34413 	detail 	search 	search
TCONS_00058581 	noncoding 	-1.34395 	detail 	search 	search
TCONS_00266161 	noncoding 	-1.34328 	detail 	search 	search
TCONS_00304982 	noncoding 	-1.3429 	detail 	search 	search
TCONS_00293687 	noncoding 	-1.34274 	detail 	search 	search
TCONS_00187132 	noncoding 	-1.34203 	detail 	search 	search
TCONS_00194584 	noncoding 	-1.34194 	detail 	search 	search
TCONS_00281588 	noncoding 	-1.34155 	detail 	search 	search
TCONS_00187403 	noncoding 	-1.34151 	detail 	search 	search
TCONS_00194599 	noncoding 	-1.34122 	detail 	search 	search
TCONS_00039881 	noncoding 	-1.34121 	detail 	search 	search
TCONS_00304800 	noncoding 	-1.34093 	detail 	search 	search
TCONS_00076791 	noncoding 	-1.34085 	detail 	search 	search
TCONS_00304777 	noncoding 	-1.3407 	detail 	search 	search
TCONS_00077973 	noncoding 	-1.34051 	detail 	search 	search
TCONS_00212160 	noncoding 	-1.34037 	detail 	search 	search
TCONS_00265745 	noncoding 	-1.34037 	detail 	search 	search
TCONS_00187080 	noncoding 	-1.34002 	detail 	search 	search
TCONS_00281656 	noncoding 	-1.33973 	detail 	search 	search
TCONS_00082119 	noncoding 	-1.3397 	detail 	search 	search
TCONS_00224723 	noncoding 	-1.33957 	detail 	search 	search
TCONS_00304922 	noncoding 	-1.33949 	detail 	search 	search
TCONS_00144582 	noncoding 	-1.33947 	detail 	search 	search
TCONS_00251972 	noncoding 	-1.33919 	detail 	search 	search
TCONS_00265846 	noncoding 	-1.33911 	detail 	search 	search
TCONS_00187402 	noncoding 	-1.33895 	detail 	search 	search
TCONS_00082199 	noncoding 	-1.33863 	detail 	search 	search
TCONS_00304725 	noncoding 	-1.33854 	detail 	search 	search
TCONS_00105338 	noncoding 	-1.33832 	detail 	search 	search
TCONS_00266190 	noncoding 	-1.3383 	detail 	search 	search
TCONS_00293610 	noncoding 	-1.33827 	detail 	search 	search
TCONS_00252156 	noncoding 	-1.33776 	detail 	search 	search
TCONS_00187389 	noncoding 	-1.3376 	detail 	search 	search
TCONS_00093968 	noncoding 	-1.33738 	detail 	search 	search
TCONS_00222077 	noncoding 	-1.33733 	detail 	search 	search
TCONS_00251861 	noncoding 	-1.33715 	detail 	search 	search
TCONS_00153669 	noncoding 	-1.33684 	detail 	search 	search
TCONS_00187529 	noncoding 	-1.33683 	detail 	search 	search
TCONS_00040093 	noncoding 	-1.33673 	detail 	search 	search
TCONS_00028714 	noncoding 	-1.33666 	detail 	search 	search
TCONS_00314684 	noncoding 	-1.33649 	detail 	search 	search
TCONS_00235467 	noncoding 	-1.33642 	detail 	search 	search
TCONS_00187460 	noncoding 	-1.33639 	detail 	search 	search
TCONS_00028702 	noncoding 	-1.33635 	detail 	search 	search
TCONS_00251971 	noncoding 	-1.33623 	detail 	search 	search
TCONS_00224429 	noncoding 	-1.33617 	detail 	search 	search
TCONS_00281474 	noncoding 	-1.3361 	detail 	search 	search
TCONS_00093831 	noncoding 	-1.33582 	detail 	search 	search
TCONS_00314754 	noncoding 	-1.33579 	detail 	search 	search
TCONS_00265723 	noncoding 	-1.33538 	detail 	search 	search
TCONS_00187543 	noncoding 	-1.33522 	detail 	search 	search
TCONS_00224522 	noncoding 	-1.33521 	detail 	search 	search
TCONS_00060039 	noncoding 	-1.33491 	detail 	search 	search
TCONS_00252020 	noncoding 	-1.33461 	detail 	search 	search
TCONS_00237493 	noncoding 	-1.33402 	detail 	search 	search
TCONS_00076728 	noncoding 	-1.33401 	detail 	search 	search
TCONS_00314619 	noncoding 	-1.3339 	detail 	search 	search
TCONS_00138700 	noncoding 	-1.33372 	detail 	search 	search
TCONS_00187394 	noncoding 	-1.33353 	detail 	search 	search
TCONS_00265781 	noncoding 	-1.3329 	detail 	search 	search
TCONS_00314702 	noncoding 	-1.33287 	detail 	search 	search
TCONS_00138832 	noncoding 	-1.3327 	detail 	search 	search
TCONS_00237324 	noncoding 	-1.33262 	detail 	search 	search
TCONS_00293584 	noncoding 	-1.33247 	detail 	search 	search
TCONS_00281711 	noncoding 	-1.33242 	detail 	search 	search
TCONS_00039998 	noncoding 	-1.33209 	detail 	search 	search
TCONS_00251809 	noncoding 	-1.33195 	detail 	search 	search
TCONS_00281648 	noncoding 	-1.33192 	detail 	search 	search
TCONS_00040103 	noncoding 	-1.33184 	detail 	search 	search
TCONS_00265960 	noncoding 	-1.33172 	detail 	search 	search
TCONS_00224551 	noncoding 	-1.33099 	detail 	search 	search
TCONS_00267984 	noncoding 	-1.33081 	detail 	search 	search
TCONS_00314600 	noncoding 	-1.33041 	detail 	search 	search
TCONS_00266168 	noncoding 	-1.33025 	detail 	search 	search
TCONS_00284869 	noncoding 	-1.33025 	detail 	search 	search
TCONS_00163987 	noncoding 	-1.33006 	detail 	search 	search
TCONS_00266064 	noncoding 	-1.33003 	detail 	search 	search
TCONS_00281667 	noncoding 	-1.3299 	detail 	search 	search
TCONS_00266044 	noncoding 	-1.32983 	detail 	search 	search
TCONS_00266144 	noncoding 	-1.32972 	detail 	search 	search
TCONS_00224459 	noncoding 	-1.32966 	detail 	search 	search
TCONS_00266364 	noncoding 	-1.32963 	detail 	search 	search
TCONS_00093891 	noncoding 	-1.32903 	detail 	search 	search
TCONS_00281593 	noncoding 	-1.32898 	detail 	search 	search
TCONS_00266365 	noncoding 	-1.32793 	detail 	search 	search
TCONS_00187440 	noncoding 	-1.32792 	detail 	search 	search
TCONS_00082146 	noncoding 	-1.32782 	detail 	search 	search
TCONS_00028773 	noncoding 	-1.32778 	detail 	search 	search
TCONS_00314669 	noncoding 	-1.32776 	detail 	search 	search
TCONS_00119904 	noncoding 	-1.32754 	detail 	search 	search
TCONS_00293596 	noncoding 	-1.32751 	detail 	search 	search
TCONS_00251872 	noncoding 	-1.32739 	detail 	search 	search
TCONS_00058485 	noncoding 	-1.32711 	detail 	search 	search
TCONS_00314577 	noncoding 	-1.32711 	detail 	search 	search
TCONS_00265727 	noncoding 	-1.32688 	detail 	search 	search
TCONS_00039905 	noncoding 	-1.3268 	detail 	search 	search
TCONS_00028545 	noncoding 	-1.32667 	detail 	search 	search
TCONS_00224372 	noncoding 	-1.32665 	detail 	search 	search
TCONS_00186978 	noncoding 	-1.32658 	detail 	search 	search
TCONS_00186942 	noncoding 	-1.32638 	detail 	search 	search
TCONS_00040061 	noncoding 	-1.32634 	detail 	search 	search
TCONS_00266197 	noncoding 	-1.32629 	detail 	search 	search
TCONS_00252062 	noncoding 	-1.32604 	detail 	search 	search
TCONS_00281666 	noncoding 	-1.32593 	detail 	search 	search
TCONS_00187377 	noncoding 	-1.32577 	detail 	search 	search
TCONS_00082103 	noncoding 	-1.32575 	detail 	search 	search
TCONS_00028595 	noncoding 	-1.32574 	detail 	search 	search
TCONS_00304704 	noncoding 	-1.32569 	detail 	search 	search
TCONS_00304990 	noncoding 	-1.3256 	detail 	search 	search
TCONS_00163963 	noncoding 	-1.32554 	detail 	search 	search
TCONS_00187423 	noncoding 	-1.32536 	detail 	search 	search
TCONS_00224506 	noncoding 	-1.32494 	detail 	search 	search
TCONS_00187499 	noncoding 	-1.32478 	detail 	search 	search
TCONS_00266282 	noncoding 	-1.32441 	detail 	search 	search
TCONS_00293646 	noncoding 	-1.3241 	detail 	search 	search
TCONS_00058570 	noncoding 	-1.32395 	detail 	search 	search
TCONS_00187099 	noncoding 	-1.32352 	detail 	search 	search
TCONS_00237520 	noncoding 	-1.3235 	detail 	search 	search
TCONS_00028552 	noncoding 	-1.32317 	detail 	search 	search
TCONS_00164001 	noncoding 	-1.32304 	detail 	search 	search
TCONS_00251970 	noncoding 	-1.32274 	detail 	search 	search
TCONS_00237437 	noncoding 	-1.32269 	detail 	search 	search
TCONS_00252024 	noncoding 	-1.32263 	detail 	search 	search
TCONS_00187176 	noncoding 	-1.32252 	detail 	search 	search
TCONS_00314586 	noncoding 	-1.32167 	detail 	search 	search
TCONS_00281631 	noncoding 	-1.32164 	detail 	search 	search
TCONS_00224748 	noncoding 	-1.3214 	detail 	search 	search
TCONS_00028665 	noncoding 	-1.32129 	detail 	search 	search
TCONS_00011566 	noncoding 	-1.3211 	detail 	search 	search
TCONS_00187055 	noncoding 	-1.32105 	detail 	search 	search
TCONS_00237330 	noncoding 	-1.32092 	detail 	search 	search
TCONS_00314666 	noncoding 	-1.32092 	detail 	search 	search
TCONS_00252133 	noncoding 	-1.32072 	detail 	search 	search
TCONS_00082184 	noncoding 	-1.32069 	detail 	search 	search
TCONS_00076792 	noncoding 	-1.3202 	detail 	search 	search
TCONS_00251964 	noncoding 	-1.32009 	detail 	search 	search
TCONS_00224693 	noncoding 	-1.31989 	detail 	search 	search
TCONS_00224560 	noncoding 	-1.31988 	detail 	search 	search
TCONS_00237530 	noncoding 	-1.31971 	detail 	search 	search
TCONS_00187062 	noncoding 	-1.31967 	detail 	search 	search
TCONS_00170024 	noncoding 	-1.31958 	detail 	search 	search
TCONS_00198342 	noncoding 	-1.31936 	detail 	search 	search
TCONS_00186944 	noncoding 	-1.31928 	detail 	search 	search
TCONS_00144508 	noncoding 	-1.31927 	detail 	search 	search
TCONS_00224571 	noncoding 	-1.31926 	detail 	search 	search
TCONS_00265726 	noncoding 	-1.3192 	detail 	search 	search
TCONS_00293732 	noncoding 	-1.31908 	detail 	search 	search
TCONS_00082046 	noncoding 	-1.3188 	detail 	search 	search
TCONS_00224761 	noncoding 	-1.31844 	detail 	search 	search
TCONS_00237341 	noncoding 	-1.31799 	detail 	search 	search
TCONS_00266215 	noncoding 	-1.31764 	detail 	search 	search
TCONS_00186859 	noncoding 	-1.3176 	detail 	search 	search
TCONS_00076797 	noncoding 	-1.31755 	detail 	search 	search
TCONS_00237399 	noncoding 	-1.31755 	detail 	search 	search
TCONS_00265771 	noncoding 	-1.31713 	detail 	search 	search
TCONS_00076798 	noncoding 	-1.31695 	detail 	search 	search
TCONS_00028730 	noncoding 	-1.31676 	detail 	search 	search
TCONS_00293594 	noncoding 	-1.3166 	detail 	search 	search
TCONS_00224597 	noncoding 	-1.31619 	detail 	search 	search
TCONS_00105311 	noncoding 	-1.3161 	detail 	search 	search
TCONS_00093938 	noncoding 	-1.31609 	detail 	search 	search
TCONS_00028692 	noncoding 	-1.31592 	detail 	search 	search
TCONS_00028861 	noncoding 	-1.31589 	detail 	search 	search
TCONS_00266153 	noncoding 	-1.31558 	detail 	search 	search
TCONS_00187550 	noncoding 	-1.31549 	detail 	search 	search
TCONS_00028710 	noncoding 	-1.31489 	detail 	search 	search
TCONS_00314698 	noncoding 	-1.31488 	detail 	search 	search
TCONS_00265996 	noncoding 	-1.31485 	detail 	search 	search
TCONS_00058479 	noncoding 	-1.31462 	detail 	search 	search
TCONS_00293586 	noncoding 	-1.3145 	detail 	search 	search
TCONS_00058591 	noncoding 	-1.31448 	detail 	search 	search
TCONS_00138668 	noncoding 	-1.31432 	detail 	search 	search
TCONS_00187183 	noncoding 	-1.31428 	detail 	search 	search
TCONS_00040211 	noncoding 	-1.31407 	detail 	search 	search
TCONS_00293645 	noncoding 	-1.31403 	detail 	search 	search
TCONS_00186977 	noncoding 	-1.31394 	detail 	search 	search
TCONS_00314735 	noncoding 	-1.31374 	detail 	search 	search
TCONS_00304825 	noncoding 	-1.31349 	detail 	search 	search
TCONS_00266027 	noncoding 	-1.31343 	detail 	search 	search
TCONS_00187334 	noncoding 	-1.31335 	detail 	search 	search
TCONS_00304877 	noncoding 	-1.31335 	detail 	search 	search
TCONS_00304936 	noncoding 	-1.31322 	detail 	search 	search
TCONS_00119796 	noncoding 	-1.31318 	detail 	search 	search
TCONS_00028822 	noncoding 	-1.31314 	detail 	search 	search
TCONS_00229043 	noncoding 	-1.31313 	detail 	search 	search
TCONS_00224448 	noncoding 	-1.31305 	detail 	search 	search
TCONS_00251916 	noncoding 	-1.31296 	detail 	search 	search
TCONS_00281515 	noncoding 	-1.31287 	detail 	search 	search
TCONS_00028575 	noncoding 	-1.31264 	detail 	search 	search
TCONS_00224728 	noncoding 	-1.31263 	detail 	search 	search
TCONS_00028417 	noncoding 	-1.31251 	detail 	search 	search
TCONS_00304975 	noncoding 	-1.31246 	detail 	search 	search
TCONS_00187370 	noncoding 	-1.31245 	detail 	search 	search
TCONS_00304733 	noncoding 	-1.31197 	detail 	search 	search
TCONS_00187287 	noncoding 	-1.31144 	detail 	search 	search
TCONS_00266434 	noncoding 	-1.31114 	detail 	search 	search
TCONS_00304838 	noncoding 	-1.3107 	detail 	search 	search
TCONS_00187005 	noncoding 	-1.31069 	detail 	search 	search
TCONS_00194643 	noncoding 	-1.31041 	detail 	search 	search
TCONS_00013705 	noncoding 	-1.31036 	detail 	search 	search
TCONS_00119819 	noncoding 	-1.31033 	detail 	search 	search
TCONS_00281544 	noncoding 	-1.31028 	detail 	search 	search
TCONS_00040014 	noncoding 	-1.31008 	detail 	search 	search
TCONS_00187581 	noncoding 	-1.31004 	detail 	search 	search
TCONS_00224476 	noncoding 	-1.3099 	detail 	search 	search
TCONS_00224599 	noncoding 	-1.30986 	detail 	search 	search
TCONS_00105335 	noncoding 	-1.30982 	detail 	search 	search
TCONS_00224679 	noncoding 	-1.30977 	detail 	search 	search
TCONS_00266075 	noncoding 	-1.30965 	detail 	search 	search
TCONS_00028590 	noncoding 	-1.30957 	detail 	search 	search
TCONS_00187577 	noncoding 	-1.30956 	detail 	search 	search
TCONS_00251958 	noncoding 	-1.30941 	detail 	search 	search
TCONS_00314579 	noncoding 	-1.30941 	detail 	search 	search
TCONS_00187604 	noncoding 	-1.30903 	detail 	search 	search
TCONS_00184009 	noncoding 	-1.30893 	detail 	search 	search
TCONS_00224752 	noncoding 	-1.30862 	detail 	search 	search
TCONS_00082098 	noncoding 	-1.30861 	detail 	search 	search
TCONS_00266113 	noncoding 	-1.30841 	detail 	search 	search
TCONS_00058582 	noncoding 	-1.30837 	detail 	search 	search
TCONS_00187073 	noncoding 	-1.30835 	detail 	search 	search
