test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2_fold_change	test_stat	p_value	q_value	significant
XLOC_031778	XLOC_031778	-	chr2:58089010-58121278	Control	Dengue	OK	0.441615	0.0797628	-2.469	-2.12096	5e-05	0.00504611	yes
XLOC_033379	XLOC_033379	-	chr2:20636886-20639491	Control	Dengue	OK	0.829811	0.190429	-2.12353	-1.3477	0.0012	0.046981	yes
XLOC_033508	XLOC_033508	-	chr2:58024421-58030455	Control	Dengue	OK	0.435135	0.0504731	-3.10788	-1.62904	0.00085	0.0377533	yes
XLOC_033509	XLOC_033509	-	chr2:58030580-58034488	Control	Dengue	OK	0.554427	0.0763314	-2.86065	-1.4875	0.0013	0.048894	yes
XLOC_033511	XLOC_033511	-	chr2:58058433-58070775	Control	Dengue	OK	0.413387	0.0416827	-3.30997	-2.00167	5e-05	0.00504611	yes
XLOC_033515	XLOC_033515	-	chr2:58121356-58134087	Control	Dengue	OK	0.436462	0.0344567	-3.663	-2.32556	5e-05	0.00504611	yes
XLOC_033919	XLOC_033919	-	chr2:187056262-187080698	Control	Dengue	OK	0.805617	0.120118	-2.74564	-2.31224	5e-05	0.00504611	yes
XLOC_033928	XLOC_033928	-	chr2:187195728-187201965	Control	Dengue	OK	0.535258	0.0885178	-2.59619	-1.4569	7e-04	0.0327737	yes
XLOC_034014	XLOC_034014	-	chr2:230174620-230180097	Control	Dengue	OK	1.36627	0.360868	-1.92071	-1.39243	3e-04	0.0187278	yes
XLOC_035493	XLOC_035493	-	chr20:48648203-48650611	Control	Dengue	OK	1.40161	0.259037	-2.43586	-1.41568	0.0011	0.0445047	yes
XLOC_036616	XLOC_036616	-	chr22:27184349-27206048	Control	Dengue	OK	0.79271	0.302102	-1.39176	-1.22507	0.00045	0.0240432	yes
XLOC_037474	XLOC_037474	-	chr22:23269451-23276593	Control	Dengue	OK	0.177195	0.604428	1.77023	1.26823	0.001	0.0426432	yes
XLOC_040563	XLOC_040563	-	chr3:46129815-46134631	Control	Dengue	OK	0.962046	0.256383	-1.90781	-1.35813	0.00055	0.0274486	yes
XLOC_040564	XLOC_040564	-	chr3:46135420-46144753	Control	Dengue	OK	1.5737	0.375203	-2.06842	-1.85457	5e-05	0.00504611	yes
XLOC_040565	XLOC_040565	-	chr3:46149745-46152759	Control	Dengue	OK	1.94779	0.528365	-1.88223	-1.4653	0.00035	0.019994	yes
XLOC_041104	XLOC_041104	-	chr4:26780054-26787953	Control	Dengue	OK	0.556201	0.101352	-2.45623	-1.68108	1e-04	0.00848879	yes
XLOC_041153	XLOC_041153	-	chr4:38752084-38755471	Control	Dengue	OK	0.857811	0.168757	-2.34571	-1.4031	8e-04	0.0360615	yes
XLOC_041693	XLOC_041693	-	chr4:117274126-117277023	Control	Dengue	OK	5.93992	1.36689	-2.11955	-1.60157	5e-04	0.0259514	yes
XLOC_043334	XLOC_043334	-	chr4:185200407-185207405	Control	Dengue	OK	0.11657	0.73882	2.66403	1.54376	0.00055	0.0274486	yes
XLOC_043543	XLOC_043543	-	chr4:82337075-82344617	Control	Dengue	OK	1.4146	0.342212	-2.04743	-1.33358	3e-04	0.0187278	yes
XLOC_046635	XLOC_046635	-	chr5:54070642-54073013	Control	Dengue	OK	1.87289	0.309254	-2.5984	-1.32678	0.00095	0.0410898	yes
XLOC_046708	XLOC_046708	-	chr5:82669208-82677368	Control	Dengue	OK	0.826444	0.231387	-1.83661	-1.37043	0.00085	0.0377533	yes
XLOC_046889	XLOC_046889	-	chr5:155192534-155198386	Control	Dengue	OK	0.395085	0.0729667	-2.43685	-1.31049	0.0012	0.046981	yes
XLOC_046891	XLOC_046891	-	chr5:155209372-155220521	Control	Dengue	OK	0.540639	0.0372547	-3.85917	-2.0277	5e-05	0.00504611	yes
XLOC_046917	XLOC_046917	-	chr5:169655491-169658549	Control	Dengue	OK	0.779691	0.129316	-2.592	-1.33733	0.0013	0.048894	yes
XLOC_050028	XLOC_050028	-	chr6:106315668-106321678	Control	Dengue	OK	0.62642	0.127427	-2.29746	-1.36275	0.0011	0.0445047	yes
XLOC_050029	XLOC_050029	-	chr6:106326797-106332688	Control	Dengue	OK	2.93497	0.733642	-2.00019	-1.48838	5e-05	0.00504611	yes
XLOC_050410	XLOC_050410	-	chr6_mcf_hap5:3958443-4065200	Control	Dengue	OK	86.6599	0.976999	-6.47086	-4.77101	5e-05	0.00504611	yes
XLOC_054271	XLOC_054271	-	chr8:98176510-98187383	Control	Dengue	OK	0.638617	0.127951	-2.31936	-1.38542	1e-04	0.00848879	yes
XLOC_056139	XLOC_056139	-	chr8:131056846-131061225	Control	Dengue	OK	0.406593	0.0594436	-2.77399	-1.50266	8e-04	0.0360615	yes
XLOC_056825	XLOC_056825	-	chr9:93953824-93961319	Control	Dengue	OK	0.775479	0.21101	-1.87778	-1.3175	0.00035	0.019994	yes
XLOC_057028	XLOC_057028	-	chr9:117713673-117732318	Control	Dengue	OK	0.709422	0.171634	-2.04731	-1.27814	0.0013	0.048894	yes
XLOC_058777	XLOC_058777	-	chr9:120498575-120511927	Control	Dengue	OK	0.740002	0.108954	-2.76381	-2.1138	5e-05	0.00504611	yes
XLOC_061374	XLOC_061374	-	chrX:45681061-45689723	Control	Dengue	OK	0.361361	0.0180022	-4.3272	-1.97596	0.00025	0.0161619	yes
XLOC_061434	XLOC_061434	-	chrX:78648502-78670188	Control	Dengue	OK	0.419316	0.0525611	-2.99597	-2.02492	5e-05	0.00504611	yes
XLOC_061438	XLOC_061438	-	chrX:80623313-80633375	Control	Dengue	OK	0.41757	0.0721656	-2.53264	-1.5319	0.00065	0.0306699	yes
