test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2_fold_change	test_stat	p_value	q_value	significant
XLOC_045073	XLOC_045073	-	chr5:31088020-31093378	control	dengue	OK	0.487519	0.055781	-3.12761	-1.56265	0.00055	0.0176258	yes
XLOC_046136	XLOC_046136	-	chr5:172258839-172261185	control	dengue	OK	7.74327	3.33676	-1.2145	-1.07015	0.0021	0.0407334	yes
XLOC_046337	XLOC_046337	-	chr5:53964330-53974279	control	dengue	OK	0.273213	0.67074	1.29573	1.00735	0.00145	0.0323085	yes
XLOC_046342	XLOC_046342	-	chr5:54070587-54073013	control	dengue	OK	1.78431	0.274589	-2.70002	-1.51641	1e-04	0.00516162	yes
XLOC_046386	XLOC_046386	-	chr5:70471125-70471878	control	dengue	OK	2.03742	0.29265	-2.7995	-1.50942	0.00245	0.0451461	yes
XLOC_046423	XLOC_046423	-	chr5:82663206-82666752	control	dengue	OK	1.06718	0.18366	-2.5387	-1.6655	5e-05	0.00294361	yes
XLOC_046424	XLOC_046424	-	chr5:82669208-82677368	control	dengue	OK	0.813863	0.157797	-2.36671	-1.7137	5e-05	0.00294361	yes
XLOC_046425	XLOC_046425	-	chr5:82695595-82699233	control	dengue	OK	0.591536	0.153335	-1.94778	-1.11493	0.00135	0.0309024	yes
XLOC_046496	XLOC_046496	-	chr5:123231685-123234281	control	dengue	OK	0.737574	0.123642	-2.57661	-1.38523	9e-04	0.0244606	yes
XLOC_049485	XLOC_049485	-	chr6:170331347-170339666	control	dengue	OK	0.0219417	0.323365	3.88141	1.17231	0.0014	0.0316537	yes
XLOC_049558	XLOC_049558	-	chr6:14211611-14220774	control	dengue	OK	0.406429	0.134477	-1.59564	-1.12269	0.0011	0.0273915	yes
XLOC_049586	XLOC_049586	-	chr6:18484093-18492001	control	dengue	OK	0.382734	0.0885353	-2.11202	-1.1249	0.00125	0.0296445	yes
XLOC_049634	XLOC_049634	-	chr6:37469234-37472216	control	dengue	OK	1.10349	0.34168	-1.69135	-1.18938	0.001	0.025772	yes
XLOC_049728	XLOC_049728	-	chr6:106315668-106321678	control	dengue	OK	0.613515	0.175467	-1.8059	-1.1803	7e-04	0.0207378	yes
XLOC_049729	XLOC_049729	-	chr6:106326797-106332688	control	dengue	OK	2.86029	1.01227	-1.49857	-1.17395	2e-04	0.00863091	yes
XLOC_049763	XLOC_049763	-	chr6:112291636-112296297	control	dengue	OK	0.630479	0.126036	-2.32261	-1.31669	0.00075	0.0215269	yes
XLOC_049892	XLOC_049892	-	chr6:138016650-138023892	control	dengue	OK	0.0623369	0.325891	2.38623	1.10466	0.002	0.0398853	yes
XLOC_050057	XLOC_050057	-	chr6_dbb_hap3:2532127-2536676	control	dengue	OK	27.9328	76.328	1.45025	1.35324	6e-04	0.0187711	yes
XLOC_055556	XLOC_055556	-	chr8:53525697-53532724	control	dengue	OK	0.659802	0.255783	-1.36711	-1.06701	0.0015	0.0328662	yes
XLOC_055567	XLOC_055567	-	chr8:59308177-59311558	control	dengue	OK	1.298	0.375788	-1.7883	-1.30582	4e-04	0.0141203	yes
XLOC_055748	XLOC_055748	-	chr8:126615758-126621541	control	dengue	OK	0.0770469	0.426595	2.46906	1.41561	4e-04	0.0141203	yes
XLOC_058267	XLOC_058267	-	chr9:75746308-75748332	control	dengue	OK	0.630579	0.118823	-2.40786	-1.30925	0.00095	0.0249724	yes
XLOC_058275	XLOC_058275	-	chr9:75850410-75853866	control	dengue	OK	0.414056	0.0628976	-2.71875	-1.22606	0.00135	0.0309024	yes
XLOC_058288	XLOC_058288	-	chr9:83259083-83266988	control	dengue	OK	0.376343	0.0666969	-2.49636	-1.46562	0.00015	0.00706918	yes
XLOC_058289	XLOC_058289	-	chr9:83285704-83293354	control	dengue	OK	0.323992	0.0502005	-2.69018	-1.49757	1e-04	0.00516162	yes
XLOC_058291	XLOC_058291	-	chr9:83312572-83320181	control	dengue	OK	0.5789	0.0743295	-2.96131	-1.7547	5e-05	0.00294361	yes
XLOC_058292	XLOC_058292	-	chr9:83320418-83330464	control	dengue	OK	0.364334	0.0465708	-2.96776	-1.72175	5e-05	0.00294361	yes
XLOC_058293	XLOC_058293	-	chr9:83349758-83353446	control	dengue	OK	0.366804	0.0381483	-3.26532	-1.49034	0.00135	0.0309024	yes
XLOC_058294	XLOC_058294	-	chr9:83362987-83370946	control	dengue	OK	0.314325	0.0496957	-2.66106	-1.42884	4e-04	0.0141203	yes
XLOC_058296	XLOC_058296	-	chr9:83373209-83377643	control	dengue	OK	0.362007	0.0461328	-2.97215	-1.45851	0.001	0.025772	yes
XLOC_058341	XLOC_058341	-	chr9:91536906-91539801	control	dengue	OK	0.687254	0.196906	-1.80334	-1.14343	0.0022	0.0417502	yes
XLOC_061046	XLOC_061046	-	chrX:30751762-30753814	control	dengue	OK	0.360971	0.0566595	-2.67149	-1.23275	0.00255	0.0460224	yes
XLOC_061067	XLOC_061067	-	chrX:45681061-45689723	control	dengue	OK	0.357686	0.036869	-3.27821	-1.33419	0.0012	0.0287922	yes
XLOC_061116	XLOC_061116	-	chrX:78648502-78670188	control	dengue	OK	0.412312	0.0777827	-2.40622	-1.61895	5e-05	0.00294361	yes
